relation,source,target
r_whois_phone,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Phone_fd0a3f6712ff520edae7e554cb6dfb4bdd2af1e4a97a39ed9357b31b6888b4af
r_dns_a,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8
r_whois_name,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Name_ea40376482fb013b3f713cb9f36dcbca1807bde5173fa57db7778f027e3ed0e5
r_whois_name,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Name_5a90e75628e81244b692fe1ce7dbc3ea16e3e9dfb2a6312f6ddb2f3209dd150c
r_whois_email,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Email_d7537914ce0c8d6b94c8860e2627871d80464ebad7a64c0bb796492e7adb9767
r_whois_phone,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Phone_d4433a072ceae2c0c4ce3b827b0bb7a16a57cc9c921795b73d493eb4c6bd05d9
r_subdomain,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Domain_35e5defaeb8bce39352d03cad513e65f3a3a42c6cefd61ddc9abe92afe73afd8
r_cname,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Domain_0309f1abfd871888adb8551c23225dd5aa1c8016e1154c6901825c0c3332d71d
r_whois_email,Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,Whois_Email_14ff64bee5f766738802bb272f478746be42ea08a256a947ec50b2e471de0af7
r_asn,IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8,ASN_99fdfffd6903a124519df33f4b37e1b45bc7234f26c783f7254f09235b9ca30f
r_whois_name,Domain_34bb1f3cdee643466713194597bbdb38d3e3054f40397cba60ed2e93f607f0e5,Whois_Name_ea40376482fb013b3f713cb9f36dcbca1807bde5173fa57db7778f027e3ed0e5
